name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Lewis Cliff 88767,14504,Valid,Stony,Ordinary,H5,16.3,Found,1988-01-01,-84.23236,161.52292,""(-84.232360, 161.522920)"""
"Lewis Cliff 88735,14472,Valid,Stony,Ordinary,H5,8,Found,1988-01-01,-84.23238,161.55301,""(-84.232380, 161.553010)"""
"Lewis Cliff 88722,14459,Valid,Stony,Ordinary,H5,3.4,Found,1988-01-01,-84.2324,161.47689,""(-84.232400, 161.476890)"""
"Lewis Cliff 88279,14030,Valid,Stony,Ordinary,L6,11.6,Found,1988-01-01,-84.23249,161.43758,""(-84.232490, 161.437580)"""
"Lewis Cliff 88764,14501,Valid,Stony,Ordinary,H5,9,Found,1988-01-01,-84.23295,161.47552,""(-84.232950, 161.475520)"""
"Lewis Cliff 88716,14453,Valid,Stony,Ordinary,H5,6,Found,1988-01-01,-84.23302,161.5467,""(-84.233020, 161.546700)"""
"Lewis Cliff 88725,14462,Valid,Stony,Ordinary,H5,5.5,Found,1988-01-01,-84.23305,161.54639,""(-84.233050, 161.546390)"""
"Lewis Cliff 88240,13992,Valid,Stony,Ordinary,H6,9.8,Found,1988-01-01,-84.2332,161.44568,""(-84.233200, 161.445680)"""
"Lewis Cliff 93834,14557,Valid,Stony,Ordinary,H6,3.9,Found,1993-01-01,-84.23337,161.48176,""(-84.233370, 161.481760)"""
"Lewis Cliff 88245,13996,Valid,Stony,Ordinary,L6,6.3,Found,1988-01-01,-84.2335,161.44783,""(-84.233500, 161.447830)"""
